,Target,Text
612,Household,"Buzz Lotus Moroccan Blue Ceramic Kjã¸Kken Storage Jar Moroccan blue ceramic pottery jars are ideal for both modern and ethnic homes. You can use them as both decorative e pieces as well as effective storage jars. To be placed on your dining table, kitchen counters and even on a show case! These are totally safe and BPA free and non plastic ceramic material which has virtually endless life. Their pottery tended to be hand painted with fine details, deep colors, and a variety of hand spun designs. The ceramic material is eco friendly and biodegradable. The design is eternal and timeless The Kingdom of Morocco is renown for its pottery, covered with complex geometric, arabesque and beautiful, rich patterns. Moroccan art has been influenced by a diversity of cultures. The intricate hand-painted ceramics of Morocco usually reveal designs that have been influenced by Islamic culture. Some tribes in Morocco have been painting the same design for over 200 years."
613,Clothing & Accessories,"Kerala traditional colour mundu for men, 100% pure cotton men""s dhoti. kerala traditional mens kavi mundu is very famous for festivels and functions.Looms of balaramapuram kerala is very famous for cotton products such as sarees,mundu,set saree.etc.."
614,Household,"HOKIPO 4-Piece Plastic Dining Table Placemats, 45x30cm, Multicolour"
615,Electronics,Sony NWZ-B183F Walkman MP3 Player with Built-in FM Tuner (4GB) - Red Colour:Red   Brand	Sony Model	NWZ-B183FR Item Weight	100 g Product Dimensions	11.2 x 8.8 x 3.4 cm Item model number	NWZ-B183FR Digital Storage Capacity	4 GB
616,Household,"Odishabazaar Ready to Draw Rangoli Making Kit 10 Stencil 8""(with Outer) + 6 Stamp + 1 Roller + 1 Rangoli Pen + 1 Filler + 1 Galicha Patta + 10 Bottle Color(100gm) Odishabazaar Rangoli Kit is an exclusive combination of Rangoli making filler to make exclusive designs and patterns on various occasions and in day to day life. The color of material may differ a bit from the picture but will be of the same quality and standards."
617,Electronics,"REO (Intel Core I5 650 3.2GHZ/8 GB DDR3 RAM/ Nvidia 710 Graphics 2 GB/ 1.0 TB Hard Disk/ DVD RW) Slimtype Desktop REO Slimtype Desktop Intel Core i5 650 3.2Ghz Computer with 8 GB DDR3 RAM, Nvidia 710 Graphics with 2 GB RAM, 1.0 TB Hard Disk, DVD RW, Integrated Wifi (2 Years warranty from ROM Info-Tech)"
618,Household,Parasnath Home Pro 5 Step 5.1 Ft Light Weight Aluminium Heavy Duty Folding Ladder(Made in India)
619,Electronics,"HP 15 AMD E2 15.6-inch Entry Level Laptop (4GB /1TB HDD/Windows 10 Home/Jet Black/2.04 Kgs), 15q-bw548AU Designed for long-lasting performance, this stylishly designed HP 15"" laptop has a long-lasting battery that keeps you connected, entertained, and productive all day. Speed through tasks, or sit back and socialize – with the latest processors and a rich HD display. Do it all, all day."
620,Clothing & Accessories,"Finesse Maternity Denim Pant Finesse Maternity Denim Pant offers you the most comfortable yet stylish Maternity clothing you would love to wear. Specially designed for your growing belly, high belly panel provides maximum support. Stretchable Knit Denim along with breathable Rib panel is for your comfort and style. For the pregnant women who normally wears jeans in offices or at home, this product is really great. Material quality is awesome and comfortable level product is great. You be happy after purchasing this product. You can wear it during and post pregnancy too."
621,Electronics,"cartup USB Sound Adapter with 2 Stereo Output Jack and Microphone-Input Jack, External Sound Card USB (Direct USB) Size name:Direct Usb   USB Sound Card Virtual 7.1 Channel Sound Adapter is a highly flexible audio interface whiired, just plug and play for instant, audio playback, also for all major operation system.Features and Specification - USB 2.0 Full-speed (12Mbps) Specification - USB Audio Device Class Specification 1.0 - USB HID Class Specification 1.1 - USB bus-powered mode, no external power required - Connectors: USB Type-A, Stereo output jack, Mono microphone-input jack Include Xear 3D, the virtual 7.1 channel sound simulation software for Windows XP -- No driver required for Windows 98SE / ME / 2000 / XP / Server 2003 / Vista Linux, MacOS."
622,Electronics,HP 64GB Class 10 MicroSD Memory Card (U1 TF Card 64GB)
623,Household,"Crispy Easy Plastic Pomegranate ( Anar ) Seed Extractor, & Cutter With Oranges Juicer"
624,Household,Besmelody 10-Pack 3 Way BNC Splitter Adapter Female to 2 Female T-Shape Jack Plug Coaxial Surveillance Equipment Besmelody Besmelody 10-Pack 3 Way BNC Splitter Adapter Female to 2 Female T-Shape Jack Plug Coaxial Surveillance Equipment
625,Electronics,"Philips BHS386 Kera Shine Straightener (Purple) This Philips hair straightener is specially designed for Indian hair. With SilkPro Care technology and advanced keratin ceramic coating, plates smoother than silk resulting in less heat exposure and minimal friction. 2 professional styling temperatures designed for salon result with extra care and control."
626,Electronics,"AmazonBasics Apple Certified 30-Pin to USB Cable for Apple iPhone 4, iPod, and iPad 3rd Generation - 3.2 Feet (1.0 Meter),Black"
627,Books,National Cyber Olympiad Work Book (NCO) - Class 3 for 2018-19 
628,Household,TIB PVC Waterproof 7 ft Shower Curtain (White) Color Name:Leaf   PVC Floral Shower Curtain. Decorate your bathroom with this stylish and unique shower curtain. Contains Plastic hooks to put it around the rod. A beautiful way to separate your bathroom space from your water closet area comes in the form of this shower curtain. The PVC fabric makes it waterproof and easy to maintain. These are Printed Shower Curtain which gives a perfect & stylish look to your Bathroom and also makes your mood fresh and cool while taking shower or Brushing your Teeth. Its 7 feet Standard size Curtain.
629,Household,"LinTimes Toggle Clamp 500 Pounds Capacity with Plastic Wrap Handle Manual Horizontal Quick-Release Toggle Clamp Description: Product type: toggle clamp Material: galvanized iron Weight: 234g Length: 175mm Holding capacity: 500 pounds Spindle supplied: M8x50 Bar opens degree: 90 degree Handle opens degree: 65 degree Package: 1*toggle clamp Note: Please allow 1-2cm differs due to manual measurement, thanks. (All measurement in cm and please note 1cm=0.39inch) As different computers display colors differently, the color of the actual item may vary slightly from the pictures."
630,Books,"eCraftIndia Antique Finish European Horse Cart Brass Showpiece (15 cm x 8 cm x 9, Brown) Give royal touch to your home decor with brass antique finish European showpiece. Featuring an excellent finish, this statue looks extremely classy and elegant. This royal piece of art simply shows that how can a simple work of art turns into a master piece of craftsmanship. It can also serve as a great gifting option for your loved ones, family and friends. This statue has been diligently handcrafted by skilled artisans of eCraftIndia using various conventional techniques."
631,Household,"Hario Ceramic Coffee Mill ""Mini-Slim"" Enjoy the taste of freshly ground coffee at home any time! Ceramic mortar has no odor, does not rust. The coarse powder is adjustable simply by turning the knob; also, you can calibrate the amount of ground through the transparent bottle. Secure design makes for easier grinding. Easy to clean with disassembled parts, Slim design saves space."
632,Clothing & Accessories,Tagline Faux Georgette Saree With Embroidered Blouse Piece
633,Household,Nova Photo Album 108 Photos 4X6 Inch Album Color Name:Multicolor-12   The product is Photo Album 108 Photos Album. Size of the album is 4X6 Inch.
634,Clothing & Accessories,ONESPORT Women's Polyester Spandex Jersey Black Tights(ONSP12BL-P) Womens sports tights in stretch polyester jersey with sweat dry technology. Perfect to keep one cool in the gym
635,Books,"My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) About the Author Wonder House has a dedicated team of editors and designers involved in the development of magnificent and enriching children books. The team pays special attention to develop age appropriate content and does extensive research on every topic included in the book. Our mission is to develop highly informative content which will help the children to master different skills. At Wonder House, we strive to make learning a joy."
636,Books,Clinician's Guide to Laboratory Medicine: 0 (Clinicians Guide Series) 
637,Books,Ethics in Service 
638,Clothing & Accessories,"Ritu-Creation Women's/Girl's Strapless Stretchable Long Bandeau Tube Top Camisole (Free Size) Pack of 2, Black/Beige This basic long tube top is a great piece for layering, utilizing as an undergarment, or to pair up with a simple workout outfit! .Constructed with seamless and soft material, the top effortlessly creates the perfect comfortable fit that allows a large range of active movements. This garment is constructed to be more elongated for extra comfort and support for the lower body. The material absorbs sweat well and doesn't make you feel sticky and wet. To ensure a supportive and secured fit, this top is designed with ribbed sides that will help enhance the body shape while holding the top in place. The durable yet breathable fabrication promises any body figures to slip into the tube top without any struggles. No stress at all when you wearing these to work place.Super comfortable and they stay in place. Need a light cover-up for your strapless dress? Looking for a new, attractive active wear? This tube top offers everything you need."
639,Household,"Bamboo Greens - Bamboo Table Runner - Rose Flower Print - 30 x 135 cms Bamboo Sticks (17 MM) have been digitally printed in a beautiful rose flower print to give a vintage look and then, PU coated and stitched with a cloth border to give it a longer life. This runner can be easily folded and stored and are also easy to wash. Heat insulation mats not only can protect your dinner table, but also is a stylish decoration for your side board or chester top. This elegant runner will keep you in happy mood when eating, it will improve your dining experience and impress your guests."
640,Books,"The Edgar Cayce Remedies From the Publisher What opens the door to disease in our body? What enables us to get well? Dr. William A. McGarey answers these questions and shows us the way to glowing good health. Guided by the teachings of Edgar Cayce, Dr. McGarey has treated thousands in his Arizona clinic. He treats the human body not as a biochemical factory but as a whole entity in time and space, affected by our consciousness and the experienced of life, now and through many incarnations. Utilizing holistic concepts that use our minds creatively to bring health to our bodies, Dr. McGarey shows us a process of healing that includes: special diets and herbs, the preparation and use of Cayce's famous castor oil packs. Effective healing massages, an exercise program, treatments for specific illnesses, including psoriasis, colitis, asthma, heart disease, arthritis, and many more, daily meditation and prayer, dreams in health and healing, a Cayce pharmacopoeia. 				    	 					 From the Inside Flap What opens the door to disease in our body? What enables us to get well? Dr. William A. McGarey answers these questions and shows us the way to glowing good health. Guided by the teachings of Edgar Cayce, Dr. McGarey has treated thousands in his Arizona clinic. He treats the human body not as a biochemical factory but as a whole entity in time and space, affected by our consciousness and the experienced of life, now and through many incarnations. Utilizing holistic concepts that use our minds creatively to bring health to our bodies, Dr. McGarey shows us a process of healing that includes: special diets and herbs, the preparation and use of Cayce's famous castor oil packs. Effective healing massages, an exercise program, treatments for specific illnesses, including psoriasis, colitis, asthma, heart disease, arthritis, and many more, daily meditation and prayer, dreams in health and healing, a Cayce pharmacopoeia. 				    	 					              See all Product description"
641,Electronics,"Bose Quiet Comfort 35 II Wireless Headphone (Black) Colour:Black   Quiet comfort 35 wireless headphones II are engineered with world-class noise cancellation and now they’re even better. You can control music, send and receive texts, and get answers using just your voice. Just press and hold the action button, and start talking. With QC 35 headphones II, you can be free from wires by connecting easily to your devices with Bluetooth and NFC pairing and voice prompts walk you through the connection. The multi-function button continues to offer access to your phone’s default virtual assistant, like Siri. Volume-optimized EQ gives you balanced audio performance at any volume, while a noise-rejecting dual-microphone system provides clearer calls, even in noisy environments. They feature up to 20 hours of wireless listening per charge and are designed with premium materials that make them lightweight and comfortable for all-day wear and the Bose Connect app helps you set your preferred level of noise cancellation, unlock more features and access future updates. Get caught with a low battery? The included cable lets you plug in and keep the music playing. Available in black or silver. Specification:  Dimensions/weight without the cable: Headphones:18 cm H x 17 cm W x 8.1 cm D (0.24 kg)  Audio cable:1.2 m USB cable:30.5 cm"
642,Clothing & Accessories,"MomToBe Women's Cotton Maternity Dress, Pink & White MomToBe Women's Cotton Maternity Dress, Pink & WhiteDescription:        Perfect your runway-ready look wearing this pink & white maternity dress by MomToBe. Exhibiting an eye-catching print and a soothing colour scheme, it will definitely put you in the spotlight. Made of Cotton, this regular-fit dress will keep you at ease all day long.Brand: MomtobePink & White Maternity DressGives a very classy look, a perfert evening wearRound neck,Short sleevesCan be used Pre to post pregnancyFront has a zipper for discreet nursing post-delivery.Front Pocket is very useful and also give a elegant look to mum's Special FeatureHas a back tie that can be adjusted to fitFits during and post pregnancyFabric : Cotton SIZE TIP:Kindly Check Size guide for your measurements before selecting a size.Your Pre-Pregnancy size is your Maternity size"
643,Electronics,Misss Beauty Auto Car Radio Stereo Antenna Adapter Aerial Connector Converts Din to Iso Femal Voltage 12v out power w model name car radio stereo antenna adapter item size 45 * 13 * 13cm item weight 6g material type plastic special features con
644,Household,"Hindware F160039CP Overhead Shower with Shower Arm and Wall Flange(Project) (Shower) with Chrome Finish Style:Overhead shower   There are only a few selected things that spell class. The brilliant collection of shower faucets by Hindware is one such beauty that renders you a showering experience like none other. A soulful unison of artistic features and superior performance - every shower is crafted to give you a refreshing shower after a hard day. From overhead massage showers to round rain showers – each style, cut and curve lends you a unique experience; turning your everyday showers into a royal affair."
645,Household,"Phenovo Zipping Travel Sewing Kit for Needles, Thread and Scissors (Multicolour) - Set of 25 Description:The material is canvas. The colour is rose red. It is lightweight, convenient to carry and can be used whether at home or travelling. Great for sewing decoration, crafts, clothes, dress making, and so on the kits is well organized with elastic straps to hold down each element of the kit. Size: The length is approx 12 cm. The width: is 2cm. The height is 2.5cm (when it closed).The length is approx 26.5 cm. The width is 12 cm. The height is 2.5 cm(when it opened).Size chart: size: length: approx 12 cm width: 12 cm height: 2.5 cm (when it closed) length: approx 26.5 cm width: 12 cm height 2.5 cm(when it opened).Package includes: 1 x sewing kit set Note: since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above. Meanwhile, please be reminded that due to lighting effects, monitor's brightness / contrast settings and so on, there could be some slight differences in the colour tone of the pictures and the actual item.Please be cautious while you opening the mosquito tent for the first time."
646,Household,"Forzza Zoey Laptop Table Mahogany, Black Color:Black   Ergonomically designed foldable laptop table is made with 12mm MDF with melamine. The legs are made in white powder coated metal. This table is easily foldable. It is ideal to place your laptop and work while in bed or on your couch. It could also be used for placing your cup of coffee. It is easily stackable and can be easily wiped with a damp cloth. This well finished product will be a good investment. Available at unbelievable prices. Care Instructions- Always follow recommended weight limits.Always use coasters / mats for keeping hot,cold or wet materials on the surface.Do not use any harsh chemicals to clean.Always use a soft dry cloth to wipe off any accidental spills.Avoid exposure to direct sunlight, the exposure could fade the polish/colour. All fabric products can be damaged by sharp edged toys, scissors, jewellery etc. In case of any snags, please trim using a scissor and do not pull. Use soft clean cloth for engineered wood surfaces. Vacuum cleaning once a week is recommended for upholstered furniture. Avoid scratching the surface with sharp objects. Use damp soft fabric to wipe clean. Do not move the product once it is fixed. Delivered flat packed. Assembly provided by the seller.Dismantling and re-assembly can be done only by a professional carpenter."
647,Electronics,"JBL GO Portable Wireless Bluetooth Speaker with Mic (Pink) Colour:Pink   Packed in a pocket-size body, JBL Go speaker delivers powerful and high impact sound. It takes the entertainment quotient higher with its effective audio output which comes at a reasonable price range. This speaker is designed with minimalistic approach to size and is easily portable. You can carry it to family picnics, beach parties, sports practice or to your evening walks for keeping yourself entertained. The beauty of this JBL speaker is that it comes with Bluetooth connectivity. You can play your favourite sound tracks available on your mobile phone by simply pairing this speaker to it. It gives you 5 hours of non-stop entertainment once fully charged. This JBL speaker also has aux-in slot available that enables you to connect various other media devices to it. The built-in speaker phone available on this JBL speaker has noise cancellation technology. It allows you to take calls conveniently. This dual functionality makes this speaker a great value for money product.."
648,Books,"How to Talk to Anyone, Anytime, Anywhere: The Secrets of Good Communication Review ""Full of some of the smartest, most practical advice I've come across...Larry King is a master of communication."" --Dan RatherFrom the Hardcover edition.  From the Inside Flap st-known master of conversation unveils his secrets for getting the talk flowing smoothly in any situation. ""Communication is a necessary skill: Larry King is a master of communication, and now he's shared what he knows. If only he'd written the book sooner, I might have had a more interesting career.""--Dan Rather. 				    	 					              See all Product description"
649,Books,"Physics, Vol 2, 5ed "
650,Household,"Casa Decor Leaf Blown Pattern Ceramic Door Knobs for Cabinets and Cupboards Pulls -Pack of 6 Our unique knobs collection can be used for updating the furniture or refurbishing a kitchen cabinet. This knobs are mostly hand painted. We offer pantone color variations, prints & transfers and bespoke paint patterns. We have showcased a small selection of the knobs that have been done in the past. These ceramic are knobs are glazed & baked to specific temperatures to experience truer colors. They are produced in various shapes & sizing with vibrant color patterns.So, buy knobs online today and give a perfect look to your furniture."
651,Household,"Spider Auto Concealed Hinge, AH261 - 0 [ 5 Pair Pack ] (Full Overlay), [HSN Code:83021010] Size:Full Overlay - 0 Degree   Auto Concealed Hinges, 5 Pairs (2 Pcs in each pair), Metal Steel, Finish Nickel, Angle of Opening (110 Degree), Cup of Diameter (35MM), Cup Depth (11.5MM), Durable and Long Life, Good Quality Hinges From Renowned Brand Spider."
652,Household,"Bull 3+3 Socket,1 Switch,3 M Wire Extension Board,White Bull is the world’s largest manufacturer of extension boards–producing more than 200,000,000 units per year. It is the OEM for many leading extension board brands in the world. Having established its presence in Germany, UK, USA, Japan and France, the company is expanding its base in India. Ramptel solutions is the exclusive importer and marketing partner of these products in India. Bull has quality and innovations as its two most important pillars. It has more than 300 patents to its name and have a dedicated R&D team that uses the most specialized material and technology to provide customers with a safe and comfortable environment for using electricity, thus improving life quality. The company uses stringent American and European quality standards and each product has to go through over 300 tests before it is approved for marketing. Bull has established an international standard laboratory that is officially certified by the US-based professional certification organization UL. After years of growth, its testing center has developed capabilities and methods that measure up to China's and IEC standards for plugs, sockets and cables and up to the standard testing requirements of 30 countries including the US, Japan and European countries."
653,Household,"Virtue Saree Cover Storage Bag Big, Set of 4, 100GSM Non Woven Fabric Cloth 9"" Height Large Design, 17 x 14 x 9 Inches (Maroon) ►  Best Quality Fabric  100GSM fabric ensures that your precious soft sarees are protected by a thicker fabric design. The fabric protects your precious sarees from dust, insects and moisture which is exactly what your sarees need.   ►  Generous 17 x 14 x 9 Inches Size  The increase in height of the saree cover to 9 inches from the standard 7 inches ensures that you can store up to 4 more sarees thus making your trips a lot more convenient.    ►  Double Stitched Around the Edges.   Double stitching around the edges ensures that the latest saree covers / saree bags pcs / multi combo offer sari and blouse cover set / bridal silk saree large wardrobe storage organizer / blanket quilt large maroon red lehenga organizer won’t get ripped at the edges easily which is a common problem when it comes to saree cover.   ►  Superior Quality Zippe r We have introduced a premium quality zipper along with a double zipper design package to doubly ensure that our customers never have to face a zipper problem.   ► Transparent front window A transparent front window is introduced so that our customers can check the sarees that they have packed before storing them or before going on a trip."
654,Books,"AIIMS Nursing Officer (Staff Nurse–Grade-II) Group ‘B’ Recruitment Exam Guide ""The present book has been specially published for the aspirants of ‘Nursing Officer Recruitment Exam’ conducted by All India Institute of Medical Sciences (AIIMS). The book, prepared by experts, is highly recommended to study and Sharpen your Problem Solving Skills with thorough practice of numerous questions provided in the book, and prepare yourself to face the exam with confidence, successfully. The book comprises Specialised Study and Practice Material with Solved Previous Paper to make you familiar with the exam pattern and the type of questions asked, with their answers. Based on the Current Pattern of Exam, the book will prove very useful for study, practice and during precious moments before the exam for reference and revision. While the specialised study and practice material of this book has been aimed to prepare you for Sure Success in the exam, your own intelligent study and practice, in Harmony with this, will definitely Ensure you a Prestigious Career as Nursing Officer (Staff Nurse)."" _CONTENTS_:- Previous Paper (Solved) Bhopal–2018; Previous Paper(Solved) Raipur–2017; Nursing Knowledge; Numerical/Quantitative Aptitude; Reasoning; English; Computer Knowledge; General Knowledge."
655,Books,"Frequency: The Power of Personal Vibration Review ""In this potent and evocative exploration of the new art and science of frequency dynamics, Peirce brings profound knowledge and speculation that inspires as it excites. If applied across many disciplines, it provides a basis for new ways of being and doing, health and creativity.""—Jean Houston, PhD, author of Jump Time and A Passion for the Possible""We are all affected by positive and negative energy whether we realize it or not. With the wisdom contained in this book, you will learn how to raise the level of your vibration—your frequency—to benefit yourself and humankind in miraculous ways.""—Masaru Emoto, author of The Hidden Messages in Water""Many indicators tell us we are about to experience a rapid transition to a new world that will change the essential nature of who we are and how we understand reality. Transcending the coming chaos is possible with the toolset provided here. Frequency is an unprecedented gift for the person who is ready to evolve.""—John L. Petersen, founder of The Arlington Institute and author of A Vision for 2012""Seeing ourselves as energy beings is the most important breakthrough of our times. In Frequency, Penney Peirce clarifies many of the energy principles that have previously been unacknowledged, but which we can now intentionally use to keep ourselves healthy and improve the realities we live in. I laughed out loud when I read this book, and enjoyed it immensely.""—Richard Bartlett, author of Matrix Energetics and Physics of Miracles  About the Author Penney Peirce is an internationally recognized pioneer in the field of intuition development and personal transformation. A coach and advisor to business leaders, psychologists, and spiritual seekers of every kind, she has been affiliated with The Center for Applied Intuition, The Institute for the Study of Conscious Evolution, and The Arlington Institute. She is the author of Leap of Perception, Frequency, and The Intuitive Way."
656,Electronics,"EYUVAA LABEL Camera Tripod Stand with Universal Smartphone Mount and Wireless Bluetooth Remote Control Camera Shutter Eyuvaa Camera Tripod and Monopod Bundles Let You Do More! Whether you need extra stability, want to get into your own shots, or both, our Eyuvaa Tripod Bundles let you do more.With your new tripod, the handy compact Remote Camera Shutter Release, and the included microfiber cleaning cloth, You’ve got everything you need to take your phone pictures to the next level. We’ve got several tripod and monopod styles and sizes to choose from, so you can be sure there’s an option that will fit your needs perfectly. Product Features Lightweight tripod for digital cameras, pocket camera, mobile phoneThree-way head, can be rotated at 360 degreesMade of high quality aluminum alloyPull buckle locking systemQuick installation plate:1/4"" international standard screwNon-slip rubber, bubble level, non-slip foot padAdjustable-height and 3-way head tripod Adjustable-height tripod, three extendable sections, makes it easy to achieve reliable stability and catch just the right angle when going after that award-winning shot. The leg height can be individually adjusted as needed or all three legs can be raised to the full height of 50 inches.3-way pan head, allows for ultimate versatility. Easily change the orientation of the camera from portrait to landscape. In The Box : 1x Compact Bluetooth Remote Control1x Adjustable Tripod1x Dual Mount Phone Holder1x Carry Bag"
657,Household,"Smile Mom Turbo Vegetable Chopper, Cutter, Whisker Set for Kitchen, 5 SS Blade + Whisker Blade with Free Microfiber Cleaning Gloves (900 ML) Size:With Microfiber Cleaning Gloves   “(1) Designed for a perfect Chopping / Cutting / Blending job by simply pulling the cord! (2) Perfect for Processing with Stainless Steel Blades: onions, garlic, tomatoes, vegetables, salads, herbs, fruits, boneless meat, nuts and more in seconds. II Perfect for Processing with Whisking / Mixing Blade: eggs, flour, milk, fruits etc to make batters, sauces or smoothies in seconds (3) Made of high quality food-grade material, BPA free. No hazard for your health & safe for everyday use. No electricity required (4) Guaranteed satisfaction with sharp stainless steel blades, comfort soft grip lid, anti-skid base, easy pull cord and a comfortable handle (5) We stand behind our products 100% with 6- Month warranty against manufacturing defect. Feel free to contact us for any issues.“ ★FREE MICROFIBER GLOVES"
658,Electronics,"Gadget Guru USB 3.0 superspeed 20 PIN Header to USB Adapter This tiny little gadget can fit directly on your pc's motherboard and can provide additional 2 USB 3.0 ports. USB 3.0 compatible with data transfer rate up to 4.8 Gbps,"
659,Books,"Harrison’s Principles of Internal Medicine - 20th Edition: - Volume I & Volume II About the Author J. Larry Jameson, MD, PhD Robert G. Dunlop Professor of Medicine; Dean, Raymond and Ruth Perelman School of Medicine; Executive Vice President, University of Pennsylvania for the Health System, Philadelphia, Pennsylvania. Anthony S. Fauci, MD Chief, Laboratory of Immunoregulation; Director, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, Maryland. Dennis L. Kasper, MD William Ellery Channing Professor of Medicine and Professor of Microbiology and Immunobiology, Division of Immunology, Department of Microbiology and Immunobiology, Harvard Medical School, Boston, Massachusetts. Stephen L. Hauser, MD Director, UCSF Weill Institute for Neurosciences; Robert A. Fishman Distinguished Professor, Department of Neurology, University of California, San Francisco, San Francisco, California. Dan L. Longo, MD Professor of Medicine, Harvard Medical School; Senior Physician, Brigham and Women’s Hospital; Deputy Editor, New England Journal of Medicine, Boston, Massachusetts. Joseph Loscalzo, MD, PhD Hersey Professor of the Theory and Practice of Medicine, Harvard Medical School; Chairman, Department of Medicine; Physician-in-Chief, Brigham and Women’s Hospital, Boston, Massachusetts."
660,Electronics,"Samsung 123 cm (49 Inches) Full HD LED Smart TV UA49N5300AR (Black) (2018 model) Size name:49 Inches   Enjoy Concert like experience with 40W and 4 Channel speakers surround sound. Experience stunning picture quality with bright pictures, rich colors and crisp details. Samsung SmartThings App allows seamless screen and sound convergence using just one App. You can use the TV as a Bluetooth speaker or easily connect your TV to any Bluetooth sound system with our Bluetooth 2-way audio feature. Most intuitive and easy to navigate interface along with access to bouquet of online content in more than 15000 titles and more than 10 languages from international and Indian partners."
661,Electronics,"USB Floppy Drive 3.5"" USB External Floppy Disk Drive Portable 1.44 MB FDD USB Drive Plug and Play for PC Windows 10 7 8 Windows XP Vista Mac Black - No External Driver,Plug and Play 3.5"" USB External Floppy Disk Drive Portable 1.44 MB FDD for PC Windows 98/ME/2000/XP/Vista/Windows 7&8 +Dust External Bag Case,Protect your drive Scratch-Resistant,No Need to Install Drive with CD,Plug and Play  Specifiaction:  - USB Interface - 3.5-inch 720KB/1.44MB FDD - Super Slim and lightweight - Available USB Bus supply current: 500 mA or less - Data capacity:720KB/1.44MB (Formatted) - USB DATA Transfer Rate: Full speed/12 Mbps - Data Transfer Rate:250 Lbits(720KB)/500 Kbits (1.44MB) - Number of Cylinders; 80 -Rotation speed:300 rpm,360 rpm recording method:MFM - Media: High Density (2HD) OR Normal Density (2DD) - Average Latency Time:100 MSEC (1.44MB mode) 83.3 MSEC (720KB mode) - Operating systems supported: Windows 98/SE/2000/ME/XP/VISTA/Windows 7/Windows 8,Note: it's not compatible with MAC.  Operating temperature:  - Between 4 degrees Belsius and 51 degrees Celsius - Between 39 degrees Fahrenheit and 125 degrees Fahrenheit  Relative humidity:  - Operating:between 20% and 80%  Hardware requirements  - Computer with USB Port - USB Universal Host Control  Package Included:  1x External USB Floppy Disk Drive 1x English User Manual  Note When Use:  For running smoothly,Please plug our external floppy disk drive into rear USB interface of motherboard directly. If you connect our floppy drive through USB hub,USB extension cable or frontal USB interface,it may can not be recognized by your computer because it cannot get sufficient power from them."
662,Household,"Inalsa Geyser Titanium 2000-Watt Steam Iron with 2 year Warranty (Multicolor) 2000 W heating power: 2000 W iron for fast heat up and powerful performance on all your ironable garments A fine spray evenly moistens the fabric: The spray function produces a fine mist that evenly moistens the fabric, making it easier to iron out creases. Easy and super fast emptying of the watertank: Easy and super fast emptying of the watertank thanks to its bigger water inlet hole. Titanium coating for easy gliding: Titanium coating on Sole Plate for easy gliding on all fabrics. Continuous steam up to 22 g/min for quick crease removal: Continuous steam up to 22 g/min for quick crease removal. No water leakage thanks to Anti Drip Function: The anti drip function prevents water leakage through steam holes when the sole plate is cool. Temperature light indicates when the iron is hot enough: Temperature light goes on when the iron is heating up and goes off when the solepalte temperature has reached the set level. Steam burst up to 0.8 g/shot for the most stubborn creases: The iron's 0.8 g steam burst enables you to easily remove even the most stubborn creases Anti Calc Feature to easily remove scale out of your iron: This steam iron can be operated with normal tap water thanks to its Anti calc Feature. Even steam distribution for efficient ironing: Thanks to the carefully designed soleplate, the steam is distributed evenly across the soleplate. This way you need less strokes to evenly moisten the garment and therefore less time to complete the ironing. Self clean to prevent your iron from scale build up: The Self clean function enables you to simply flush your iron to remove the calc particles out of your iron. This will extend the lifetime of your iron. 100% safe on all ironable garments: 100% safe on all ironable garments even the most delicate like silk, wool, polyester thanks to its Variable Temperature Control Function Vertical steam for crease removal in hanging fabrics: This INALSA iron has a vertical steam function, for crease removal in hanging fabrics. Pointed tip for ironing tricky areas: The uniquely pointed tip allows you to iron even the hardest to reach areas. Longer Warranty: Longer 2 Years warranty for peace of mind. Main Features:  Power: 2000 Watt  Steam/Spray/Dry ironing Titanium Coated SolePlate  Anti Drip and Anti Calc Functions Vertical ironing and powerful spray  Variable steam and Temperature Control  360° Swivel Cord Movement  Powerful Spray  Self Cleaning General Specifications: Sole Plate: Titanium Coated Variable Temperature Control: Yes 360 Swivel Cord Movement: Yes Anti Calc: Yes Anti Drip: Yes Self Clean: Yes Power Indicator Light: Yes ISI Approved: Yes Technical Specifications: Power Consumption (Watt): 2000 Input Supply: 230V, AC Water Tank Capacity (ml): 300 Max. Steam (gm/min.): 22 Steam Burst: Yes Spray (gm/ stroke): 0.5 Over Heat Protection: Yes Cord Plug / Length: 3 Pins, 1.75 m Accessories: Included: Water Pouring Cup Warranty: Warranty: 2 Years Every Steam iron has to go through all functional tests (like Spray , Steam, Steam Burst, Self-clean and Anti-drip etc.). For these functional tests water tank needs to be filled with water, some water drops may remain in tank after these tests even after our best efforts to empty water tank.  Please Don’t worry for these drops. It’s a sign that the Steam Iron has been tested properly at manufacturing end."
663,Books,"In Distant Lands: A Short History of the Crusades Review ""Joe Barrett did an excellent job narrating In Distant Lands. . . . He never stumbles on any of the foreign words whether French or Arabic. I would not hesitate to choose another book he narrates."" ---Exit, pursued by a bear 				    	 					 About the Author Lars Brownworth, the author of Lost to the West and The Normans, created the genre-defining history podcast 12 Byzantine Rulers. Lars has written for the Wall Street Journal, and he has been profiled in the New York Times. He lives in Maryland with his wife. Visit him at larsbrownworth.com."
